1;1;96811846
2;2;87678035
3;3;87081349
4;4;109863853
5;5;106882485
6;6;88353050
6;7;108114500
6;8;116481301
7;9;117685819
8;10;88949037
8;11;105967169
9;12;89254497
9;13;96870145
10;14;88514679
11;15;118776464
12;16;85577082
13;17;121247424
14;18;105726119
15;19;79045317
1;21;28198359
1;22;26074220
1;23;20274618
2;24;25315611
2;25;27415657
2;26;21164380
3;27;27439742
3;28;21372652
3;29;22139671
3;30;24395748
4;31;29518559
4;32;26326149
5;33;26414187
5;34;21655845
6;35;29433897
6;36;21890244
7;37;25290499
7;38;22207938
8;39;26540555
8;40;29009581
9;41;25006360
9;42;20329381
9;43;27267861
10;44;23074076
10;45;26514477
10;46;23955876
11;47;22991281
11;48;29112418
11;49;20794668
12;50;22971057
12;51;27317393
13;52;22490839
13;53;25418298
13;54;26582426
14;55;25329713
14;56;25029501
15;57;24348496
15;58;22983224
